production,population,gdp,famine
213.0,865360.0,584961208.656595,0
223.0,880023.0,619319197.340022,0
225.0,892569.0,678235373.038558,0
227.0,903275.0,711893367.5552701,0
227.0,912417.0,736568861.9261509,0
236.0,919903.0,723735635.536371,0
237.0,925909.0,761981474.023359,0
228.0,931468.0,758899950.0,0
251.0,937848.0,779200000.0,0
251.0,945993.0,821850000.0,0
267.0,956366.0,896754316.6742619,0
276.0,968741.0,1083381044.0847301,0
297.0,982592.0,1308799458.96284,0
316.0,997053.0,2042031901.42217,0
312.0,1011490.0,2442667573.04821,0
330.0,1025658.0,2500410583.79177,0
328.0,1039761.0,3138666666.66667,0
345.0,1054116.0,3562333458.3333297,0
362.0,1069202.0,4602416625.0,0
387.0,1085308.0,6235833333.33333,0
384.0,1102556.0,6992083333.33333,0
409.0,1120611.0,8140416666.66667,0
391.0,1138676.0,7763750000.0,0
383.0,1155695.0,7757083333.33333,0
369.0,1170928.0,7375918367.346941,0
416.0,1184051.0,4794444444.44444,0
399.0,1195247.0,4797777777.77778,0
369.0,1204893.0,4496852073.46896,0
371.0,1213624.0,4323058823.52941,0
363.0,1221900.0,5068000000.0,0
388.0,1229907.0,5307905882.35294,0
365.0,1237487.0,5439552941.176471,0
357.0,1244407.0,4669488516.37981,0
366.0,1250318.0,4947205860.01451,0
404.0,1255001.0,5329214163.22001,0
392.0,1258364.0,5759537726.26601,0
396.0,1260678.0,5737751331.63779,0
418.0,1262542.0,6043694330.21609,0
399.0,1264775.0,6808982520.75759,0
426.0,1267984.0,8154338232.95978,0
447.0,1272380.0,8824873259.32105,0
432.0,1277837.0,9008273720.93395,0
449.0,1284052.0,11305459802.0683,0
456.0,1290535.0,13280275123.0354,0
453.0,1296934.0,15982282462.3786,0
449.0,1303144.0,18369070085.3888,0
457.0,1309260.0,21642304045.512,0
470.0,1315372.0,27870257894.2347,0
477.0,1321618.0,19175196445.7936,0
472.0,1328100.0,22157948396.2042,0
499.0,1334788.0,25433011405.3017,0
515.0,1341588.0,25694164489.2373,0
514.0,1348248.0,26436159314.5624,0
2912.0,11404859.0,2434776645.73628,0
2915.0,11690153.0,2001468867.73344,0
2836.0,11985136.0,2703014867.32834,0
2826.0,12295970.0,2909351792.58659,0
3002.0,12626952.0,3136258896.9233,0
2998.0,12980267.0,3039834558.74906,0
3090.0,13354197.0,3370843065.76735,0
3456.0,13744387.0,3852115816.9775796,0
3482.0,14144438.0,4257218772.15369,0
3660.0,14550034.0,4863487492.65763,0
3842.0,14960109.0,5077222366.97472,0
4085.0,15377093.0,6761786386.54713,0
4347.0,15804428.0,8715105930.491009,0
4757.0,16247113.0,13209713643.3219,0
5508.0,16709099.0,15557934268.4965,0
5220.0,17190239.0,17728347374.994,0
5608.0,17690184.0,20971901273.271,0
6008.0,18212326.0,26364491313.4471,0
6585.0,18760761.0,33243422157.6311,0
7282.0,19337715.0,42345277342.0195,0
7391.0,19943664.0,44348672667.8715,0
7388.0,20575701.0,45207088715.6483,0
7878.0,21228289.0,48801369800.3675,0
8161.0,21893853.0,53698278905.9678,0
9565.0,22565905.0,57937868670.1937,0
10332.0,23241272.0,63696301892.8116,0
10725.0,23917897.0,66742267773.1959,0
10941.0,24591492.0,59089067187.3943,0
11702.0,25257672.0,55631489801.5508,0
11096.0,25912367.0,62045099642.7774,0
12337.0,26554329.0,45715367087.1001,0
13115.0,27181094.0,48003298223.1178,0
13367.0,27786259.0,49946455210.965996,0
12859.0,28362253.0,42542571305.5136,0
14022.0,28904298.0,41764052457.8814,0
13865.0,29411415.0,46941496779.8499,0
13692.0,29886839.0,48177862501.9495,0
14410.0,30335732.0,48187747528.899,0
15016.0,30765613.0,48640574566.6476,0
